date	id	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio	passed	finished
[28/Apr/2020:14:09:25]	2aqgpp8cpv7qnlnv161jsl9vat	35-44	Female	2	5	3	4	2	1	4	4	2	3	FALSE	TRUE
[28/Apr/2020:14:22:11]	23a7goca1g938o6i4ee6oa5slm	25-34	Male	5	0	5	5	5	5	5	5	5	5	FALSE	TRUE
[28/Apr/2020:14:07:11]	bk45fgteg74ujv0v8m9q3s3acg	35-44	Male	1	2	3	5	4	5	3	5	4	3	FALSE	TRUE
[28/Apr/2020:14:16:11]	di3q97hefht328p858psak2sno	>55	Female	5	0	3	5	5	2	2	3	3	1	TRUE	TRUE
[28/Apr/2020:14:10:31]	hh23sfkuk8sopt4jpnkef7dghg	45-54	Male	1	7	5	5	3	1	5	5	5	1	TRUE	TRUE
[28/Apr/2020:14:13:33]	i17nfroq9l8curautd4u7p4f9d	25-34	Female	5	1	5	5	1	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:14:12:20]	ngc5vi6t92erqvhe9i42npcd3f	>55	Female	5	0	5	5	5	5	1	5	5	1	FALSE	TRUE
[28/Apr/2020:14:09:06]	4pvbn8ckav8087bc44eshp7b8k	25-34	Male	5	0	1	4	1	1	1	5	5	1	TRUE	TRUE
[28/Apr/2020:14:08:00]	bcgdifuqudip1i3hrjru5h4h76	25-34	Male	1	5	3	5	3	3	3	5	5	1	FALSE	TRUE
[28/Apr/2020:14:11:55]	p5lcecqi59b6f2jfv4kn4nina1	35-44	Male	3	1	4	4	4	2	2	4	4	2	TRUE	TRUE
[28/Apr/2020:14:24:21]	fo5pilh0s7qe7b4k38ccphl8qg	45-54	Female	1	7	1	3	1	1	1	4	4	1	TRUE	TRUE
[28/Apr/2020:14:14:32]	91ibre15bobldqu319u4jjjd47	45-54	Male	2	3	4	5	5	3	4	5	5	2	TRUE	TRUE
[28/Apr/2020:14:28:13]	99lmtfd1sf2nnel54a0t1obn60	18-24	Male	4	1	4	5	3	4	3	4	5	3	TRUE	TRUE
[28/Apr/2020:14:14:26]	ibvb2njjaottl9i2ppd2a35qvu	45-54	Female	1	3	3	4	5	3	4	5	3	4	FALSE	TRUE
[28/Apr/2020:14:21:08]	bpodtjb4sosgtmqqn2aa71use8	25-34	Female	2	2	3	4	4	2	3	3	2	1	TRUE	TRUE
[28/Apr/2020:14:26:42]	bpgar37hairqb0at5ee4ps213b	35-44	Female	5	0	3	3	2	1	3	5	5	2	TRUE	TRUE
[28/Apr/2020:14:34:21]	tdbpd83efdq0bpe9n3hmu2mm5f	>55	Female	5	0	5	5	2	2	2	5	3	1	TRUE	TRUE
[28/Apr/2020:15:11:26]	vg4q9m2n2adflmk7ed300jcoj8	35-44	Female	3	2	2	2	1	1	2	4	5	1	TRUE	TRUE
[28/Apr/2020:15:12:25]	n42pdmbacgse6u2o8stuprr3c4	25-34	Male	2	2	3	5	1	1	1	3	1	1	TRUE	TRUE
[28/Apr/2020:15:11:41]	07uqtlnm01j6fsnpru95beik9t	25-34	Female	5	0	3	5	3	2	3	3	3	2	TRUE	TRUE
