date	id	r1	r2	rating	fam1	fam2	conf	rand	step	timediff	all	title_lev	title_jw	title_lcs	title_bigram	title_lda	text_sent	text_lda	text_tfidf	text50_tfidf	sharpness	entropy	brightness	colorfulness	embeddings	contrast	bio_tfidf	bio_lda	author_jacc	daydist	subcat_jacc	passed	finished	id2	date2	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio
[28/Apr/2020:11:37:44]	5701db3fkekqvl76dm02419sro	73a6850a1160f6f2d6c258593971b597	d0169c24-71cc-11e1-b747-ee64265ae6c6	2	2	3	2	6	1	45.0	0.32005967205716457	0.1875	0.59	0.3125	0.10679611650485436	0.0	0.8166666666666667	0.0	0.02262448593939064	0.007442357152267128	0.40660721144971335	0.9801699743614232	0.7411179621390827	0.8283024110909465	0.1664051548343472	0.99680204222781	0.04232651909425058	0.0	0.0	0.19593253968253965	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:38:08]	5701db3fkekqvl76dm02419sro	cc99330ef96252144dd882e895f308ac	9d25ce78-8b00-11e1-8fe2-281d89f5a4fe	3	2	2	3	6	2	24.0	0.32495113612897475	0.12345679012345676	0.69	0.3580246913580247	0.14285714285714285	0.0	0.8541666666666667	0.0	0.04268879381641008	0.08176861991248084	0.26090145358365124	0.8310696864455434	0.768330193250511	0.9791395716527704	0.30312564872906783	0.8883189523344537	0.06362270223107028	0.0	0.0	0.11155180961824496	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:38:23]	5701db3fkekqvl76dm02419sro	fa9d5be7589c0a727f100633d795ed11	4050fa7a64ea8822424d948be5570b18	3	1	3	3	6	3	15.0	0.33547138700347534	0.20481927710843373	0.46	0.20481927710843373	0.10280373831775699	0.0	0.9978535353535354	0.0	0.05234151211249847	0.0	0.7809407830600635	0.5522625150417316	0.5183669887174744	0.8233392335306935	0.15051935937892108	0.8959135733952093	0.07468329947702966	0.0	0.0	0.8907646474677259	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:38:46]	5701db3fkekqvl76dm02419sro	f1910fa17d4628d14b4af53cd2f2bd44	af9cabfc-0d83-11e7-9b0d-d27c98455440	2	1	3	2	6	4	23.0	0.4668620463011619	0.24050632911392397	0.57	0.2911392405063291	0.08064516129032258	0.0	0.9677579365079364	1.0	0.0643912095488756	0.07826496997327886	0.4655636007071637	0.9037110227589767	0.524262715248964	0.9552722918240594	0.1986146412421878	0.8393137563386674	0.17068848229621789	0.0	0.0	0.987109568666336	1.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:39:02]	5701db3fkekqvl76dm02419sro	d614009c9d44bf16de0e453ee0e9cb78	21015ce2c1d6534cd7e0b0de4a1f678e	1	3	3	1	6	5	16.0	0.515443778369766	0.1827956989247312	0.64	0.3225806451612904	0.07317073170731707	0.0	0.9844444444444445	0.0	0.016847409211759787	0.0	0.4048139135963562	0.9864640470274016	0.9664730929620488	0.9289507937710344	0.2470494004729336	0.9336369293414234	1.0000000000000002	1.0	1.0	0.621648460774578	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:39:34]	5701db3fkekqvl76dm02419sro	3d33f6e4-3fdf-11e3-9c8b-e8deeb3c755b	9e0830b2c9ddd7d63c0b8a7a68bc7b91	5	5	5	5	6	6	32.0	0.37678639668153213	0.2716049382716049	0.6	0.32098765432098764	0.10483870967741936	0.0	0.7837301587301587	0.0	0.0515853315785496	0.05874120252221349	0.7614710692643862	0.8735349561595214	0.7405679064987255	0.8341076953772808	0.2544647741320579	0.9143707353093622	0.0	0.0	0.0	0.9657228017883756	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:39:47]	5701db3fkekqvl76dm02419sro	0ee979c2b48e19d46a8bc886efac5fa3	ca1ce41cd0c7b27429351b9adc6ce89c	2	3	3	2	6	7	13.0	0.44091114716329455	0.1020408163265306	0.59	0.326530612244898	0.1	0.0	0.9436011904761904	0.0	0.026149391629852702	0.0	0.6778108350687521	0.978082261990566	0.8827860489211248	0.9637767035913049	0.2993973817962417	0.9620847664653602	0.06775042234196083	0.0	0.0	0.8982125124131083	1.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:40:09]	5701db3fkekqvl76dm02419sro	ad3e805be4ccbdce78c8ab382d518c72	aeff826f7b7a6b9408b415951b1e3bc0	1	1	5	4	6	8	22.0	0.3089867220710788	0.1981132075471697	0.54	0.2264150943396226	0.06993006993006994	0.0	0.7383116883116884	0.0	0.024962663623316103	0.0	0.5100026755547675	0.9768218002105536	0.7748376704269847	0.7580409085003591	0.2531661253322531	0.8934657057161859	0.0	0.0	0.0	0.2156668319286068	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:40:25]	5701db3fkekqvl76dm02419sro	72d86530257ae83aa50270a56edc4973	8663f64fa704328d240dac8af67c0190	2	4	3	3	6	9	16.0	0.33187318292740475	0.10227272727272728	0.35	0.10227272727272728	0.03	0.0	0.9545815295815296	0.0	0.0507192916276187	0.029093995844423112	0.16594405301733295	0.9777409924373001	0.8643019689649016	0.9622975884125462	0.21139230390198727	0.9492422185223136	0.042366166454592916	0.0	0.0	0.8452380952380952	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
[28/Apr/2020:11:40:41]	5701db3fkekqvl76dm02419sro	09ac8e011ce6574b8f8f73ae35e56cc3	8551e8ee30b0673681d2183ff64e3c1c	2	3	2	2	6	10	16.0	0.384852970707422	0.2696629213483146	0.64	0.3258426966292135	0.14285714285714285	0.0	0.9606060606060606	0.0	0.10077839104624596	0.016721767654318234	0.4539346971424819	0.9994512124079796	0.7861716459085869	0.9805805656386803	0.12339676174829345	0.9772146139521444	0.08609403894595047	0.0	0.0	0.8337468982630273	0.0	TRUE	TRUE	5701db3fkekqvl76dm02419sro	[28/Apr/2020:11:41:21]	45-54	Male	2	2	4	4	1	1	1	3	3	1
